ISBN,AUTHOR,TITLE,ED,YEAR,DIS,CURR,PRICE,STREAM,SUBJECT,LEVEL
9789352705436,RUMA SINGH,"FOOD & NUTRITION FOR NURSES (BSC NURSING)
",2/E,2020,37.50%,INR,595,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9789352706884,SMRITI MANI,"MATERNITY RECORD BOOK: A PRACTICAL RECORD BOOK OF OBSTETRICS
",3/E,2019,37.50%,INR,650,NURSING,MIDWIFERY AND OBSTETRICAL NURSING,NURSING CLINICAL
9789350253502,KP NEERAJA,TEXTBOOK OF COMMUNICATION AND EDUCATION TECHNOLOGY FOR NURSES,1/E,2011,37.50%,INR,950,NURSING,COMMUNICATION AND EDUCATIONAL TECHNOLOGY,NURSING BASIC
9789389188967,UN PANDA,CONCISE POCKET MIDWIFERY DICTIONARY,3/E,2020,37.50%,INR,395,NURSING,DICTIONARY,NURSING CLINICAL
9789350251164,K SEMBULINGAM,ESSENTIALS OF PHYSIOLOGY FOR PARAMEDICAL STUDENTS,1/E,2021,35.00%,INR,995,ALLIED,PHYSIOLOGY,ALLIED
9789390020072,BASANTA KUMAR NANDA,ELECTROTHERAPY SIMPLIFIED,3/E,2020,35.00%,INR,995,ALLIED,ELECTROTHERAPY,ALLIED
9789352704804,APURBA SANKAR SASTRY,ESSENTIALS OF MEDICAL PARASITOLOGY,2/E,2019,30.00%,INR,895,MEDICAL,PARASITOLOGY,UG BASIC
9789352500215,REBECCA NISSANKA,COMPREHENSIVE TEXTBOOK OF FOUNDATION OF NURSING,1/E,2016,37.50%,INR,650,NURSING,NURSING FOUNDATION,NURSING BASIC
9788194802877,UPASANA BHUMBLA,COMPETENCY BASED PRACTICAL MANUAL FOR MICROBIOLOGY AS PER THE COMPETENCEY BASED CURRICULUM (MCI),1/E,2021,30.00%,INR,650,MEDICAL,MICROBIOLOGY,UG BASIC
9789351520085,JACOB ANTHIKAD,SOCIOLOGY FOR GRADUATE NURSES,2/E,2014,37.50%,INR,450,NURSING,SOCIOLOGY,NURSING BASIC
9789389587067,SURAJ GUPTE,THE SHORT TEXTBOOK OF PEDIATRICS,13/E,2020,30.00%,INR,1495,MEDICAL,PEDIATRICS,UG CLINICAL
9789352703210,ARUP KUMAR MAJHI,BEDSIDE CLINICS IN GYNECOLOGY:FROM CLINICS TO CARE WITH ILLUSTRATIONS,1/E,2018,30.00%,INR,1595,MEDICAL,OBSTETRICS AND GYNECOLOGY,PG
9789352705085,HARSH MOHAN,ESSENTIAL PATHOLOGY FOR PHYSIOTHERAPY STUDENTS,1/E,2019,35.00%,INR,1250,ALLIED,PATHOLOGY,ALLIED
9789352704934,PRIYA RANGANATH,BASICS IN HUMAN ANATOMY FOR BSC PARAMEDICAL COURSES,2/E,2018,35.00%,INR,695,ALLIED,ANATOMY,ALLIED
9789389034301,PUNIT S BHOJANI,"EXAM PREPARATORY MANUAL FOR UNDERGRADUATES: OBSTETRICS & GYNECOLOGY
",2/E,2019,35.00%,INR,595,MEDICAL,OBSTETRICS AND GYNECOLOGY,UG CLINICAL
9789354654619,CLEMENT I,NURSING FOUNDATION I,1/E,2022,37.50%,INR,950,NURSING,NURSING FOUNDATION,NURSING BASIC
9789352700516,RENU JOGI,TEXTBOOK OF PEDIATRIC NURSING (HINDI),3/E,2017,37.50%,INR,595,NURSING,CHILD HEALTH (PEDIATRIC) NURSING,NURSING CLINICAL
9789354652240,HEMANT GUPTA,MASTERING THE BDS IST YEAR LAST 25 YEARS SOLVED QUESTIONS INCLUDES 2021 PAPERS,10/E,2022,35.00%,INR,1095,DENTISTRY,MULTI SUBJECT,DENTISTRY BASIC
9789354658501,ALI M LIYAKKATH,PRACTICAL MANUAL FOR FINAL YEAR EXAM PREPARATION,4/E,2022,35.00%,INR,995,MEDICAL,MULTI SUBJECT,UG CLINICAL
9789352700400,PADMAJA UDAYKUMAR,PHARMACOLOGY FOR PHYSIOTHERAPY STUDENTS,3/E,2017,35.00%,INR,750,ALLIED,PHARMACOLOGY,ALLIED
9789354657733,DM VASUDEVAN,TEXTBOOK OF BIOCHEMISTRY FOR DENTAL STUDENTS,4/E,2022,35.00%,INR,795,DENTISTRY,BIOCHEMISTRY,DENTISTRY BASIC
9789352705702,SWAPAN KUMAR PURKAIT,ESSENTIALS OF ORAL PATHOLOGY,4/E,2019,35.00%,INR,1095,DENTISTRY,ORAL PATHOLOGY AND ORAL MICROBIOLOGY,DENTISTRY CLINICAL
9789351526506,ASHUTOSH DEBATA,TEXTBOOK OF MICROBIOLOGY FOR GNM STUDENTS,1/E,2015,37.50%,INR,450,NURSING,MICROBIOLOGY,NURSING BASIC
9789389188578,C MANIVANNAN,CLINICAL RECORD FOR POST BASIC BSC NURSING COURSE,3/E,2020,37.50%,INR,250,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789354652486,CLEMENT I,MSC NURSING LOG BOOK: REVISED ORDINANCE GOVERNING MSC NURSING COURSE (PRACTICAL RECORD),3/E,2022,37.50%,INR,295,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789354651236,SURINDER KUMAR,TEXTBOOK OF MICROBIOLOGY FOR BSC NURSING,2/E,2022,37.50%,INR,595,NURSING,MICROBIOLOGY,NURSING BASIC
9789389776942,R SUDHA,NURSING EDUCATION PRINCIPLES AND CONCEPTS,2/E,2021,37.50%,INR,750,NURSING,NURSING EDUCATION,NURSING CLINICAL
9789389776744,HARESH U DOSHI,COMPANION FOR OBSTETRICS GYNECOLOGY PRACTICAL EXAMINATION,16/E,2020,30.00%,INR,395,MEDICAL,OBSTETRICS AND GYNECOLOGY,UG CLINICAL
9788194802853,MANJINDER KAUR,COMPREHENSIVE WORKBOOK FOR PRACTICAL PHYSIOLOGY,3/E,2021,30.00%,INR,795,MEDICAL,PHYSIOLOGY,UG BASIC
9789351526551,ASHOK KUMAR,COMPUTER FOR NURSES,1/E,2021,37.50%,INR,250,NURSING,COMPUTER EDUCATION,NURSING BASIC
9789390595020,DINESH BADYAL,PRACTICAL MANUAL OF PHARMACOLOGY FOR MEDICAL STUDENTS,3/E,2021,35.00%,INR,795,MEDICAL,PHARMACOLOGY,UG BASIC
9789390595310,DK MAHABALARAJU,ESSENTIALS OF COMMUNITY MEDICINE PRACTICALS,3/E,2021,30.00%,INR,895,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789388958790,CLEMENT I,NURSING SOLVED QUESTION PAPERS FOR GENERAL NURSING AND MIDWIFERY 2ND YEAR 2019-2010,4/E,2019,37.50%,INR,795,NURSING,MULTI SUBJECT,NURSING BASIC
9789389188691,RUMA SINGH,NUTRITION FOR GENERAL NURSING AND MIDWIFERY,1/E,2020,37.50%,INR,350,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9789352500055,RENU JOGI,BASIC OPHTHALMOLOGY,5/E,2016,30.00%,INR,895,MEDICAL,OPHTHALMOLOGY,UG CLINICAL
9789352705146,DM VASUDEVAN,PRACTICAL TEXTBOOK OF BIOCHEMISTRY FOR MEDICAL STUDENTS,3/E,2020,35.00%,INR,495,MEDICAL,BIOCHEMISTRY,UG BASIC
9789389587319,YM MALA,CASE DISCUSSION IN OBSTETRICS & GYNECOLOGY (AN OFFICIAL PUBLICATION OF THE DEPARTMENT OF OBSTETRICS,2/E,2020,35.00%,INR,1395,MEDICAL,OBSTETRICS AND GYNECOLOGY,PG
9789389188752,GEETHA N,TEXTBOOK OF PHYSIOLOGY FOR NURSING STUDENTS,2/E,2020,37.50%,INR,895,NURSING,PHYSIOLOGY,NURSING BASIC
9789354654534,BANDANA,COMMUNICATIVE ENGLISH FOR BSC NURSING,1/E,2022,37.50%,INR,395,NURSING,ENGLISH,NURSING BASIC
9789389188028,SHIRISH M KAWTHALKAR,ESSENTIALS OF HEMATOLOGY,3/E,2020,30.00%,INR,1095,MEDICAL,HEMATOLOGY,UG BASIC
9789390595587,PUNEET,ROSHAN LALL GUPTA'S RECENT ADVANCES IN SURGERY-17,1/E,2021,35.00%,INR,1295,MEDICAL,PEDIATRICS,PG
9789352705269,CLEMENT I,TEXTBOOK ON FIRST AID & EMERGENCY NURSING,2/E,2019,37.50%,INR,895,NURSING,FIRST AID NURSING,NURSING BASIC
9789354655104,EVANGELINE JONES,MANUAL OF PRACTICAL MEDICAL BIOCHEMISTRY,3/E,2022,37.50%,INR,495,MEDICAL,BIOCHEMISTRY,UG BASIC
9789350902790,JACOB ANTHIKAD,MEDICAL MICROBIOLOGY FOR NURSES(INCLUDING PARASITOLOGY),1/E,2013,37.50%,INR,550,NURSING,MICROBIOLOGY,NURSING BASIC
9789389587081,ANUJEET,RADICAL ENGLISH FOR NURSES,3/E,2020,37.50%,INR,450,NURSING,ENGLISH,NURSING BASIC
9789390595518,JASPREET KAUR SODHI,COMPREHENSIVE TEXTBOOK OF NURSING EDUCATION,2/E,2022,37.50%,INR,795,NURSING,NURSING EDUCATION,NURSING CLINICAL
9789354656590,CLEMENT I,NURSING SOLVED QUESTION PAPERS FOR BSC NURSING 2ND YEAR (2021-2014),5/E,2022,37.50%,INR,695,NURSING,MULTI SUBJECT,NURSING BASIC
9789389188783,SURAJ KUMAR,"MCQS FOR MASTER IN PHYSIOTHERAPY (MPT) ENTRANCE EXAMINATION
",2/E,2020,35.00%,INR,450,ALLIED,MULTI SUBJECT,ALLIED
9789351521549,JACOB ANTHIKAD,PSYCHOLOGY FOR GRADUATE NURSES (GENERAL AND EDUCATIONAL PSYCHOLOGY),5/E,2014,37.50%,INR,550,NURSING,PSYCHOLOGY,NURSING BASIC
9789389587586,NISHA GARG,TEXTBOOK OF OPERATIVE DENTISTRY,4/E,2020,30.00%,INR,1195,DENTISTRY,OPERATIVE DENTISTRY,DENTISTRY CLINICAL
9789354656545,SHIVANANDA NAYAK B,"HANDBOOK OF APPLIED BIOCHEMISTRY, NUTRITION AND DIETETICS  FOR NURSING AND ALLIED HEALTH STUDENTS",5/E,2022,37.50%,INR,795,NURSING,BIOCHEMISTRY,NURSING BASIC
9789354651212,PIYUSH GUPTA,PG TEXTBOOK OF PEDIATRICS (3 VOLUMES),3/E,2022,35.00%,INR,8495,MEDICAL,PEDIATRICS,PG
9789386150851,NIRANJAN SHENDURNIKAR,COMPUTERS FOR NURSES,2/E,2017,37.50%,INR,550,NURSING,COMPUTER EDUCATION,NURSING BASIC
9789386261793,JOHN EBNEZAR,ESSENTIALS OF ORTHOPEDICS FOR PHYSIOTHERAPISTS,3/E,2017,35.00%,INR,1450,ALLIED,PHYSIOTHERAPY IN ORTHOPEDICS,ALLIED
9789352700714,MONIKA DEAN,"HEALTH PROMOTION FOR ANM (IN HINDI) AS PER INC SYLLABUS
",2/E,2020,37.50%,INR,395,NURSING,HEALTH PROMOTION,NURSING BASIC
9789352709885,SAMAR K BASAK,ESSENTIALS OF OPHTHALMOLOGY,7/E,2019,30.00%,INR,1095,MEDICAL,OPHTHALMOLOGY,UG CLINICAL
9789390595440,NISHA CLEMENT,ESSENTIALS OF MANAGEMENT OF NURSING SERVICE & EDUCATION,2/E,2022,37.50%,INR,795,NURSING,NURSING MANAGEMENT AND ADMINISTRATION,NURSING CLINICAL
9789351523499,SN NANJUNDE GOWDA,CUMULATIVE RECORD OF CLINICAL LEARNING EXPERIENCE FOR POST BASIC BSC NURSING(CLI.LEARN.REC LOG BOOK),1/E,2015,37.50%,INR,195,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789390595426,MANJULA SHANTARAM,APPLIED BIOCHEMISTRY FOR BSC NURSING,2/E,2022,37.50%,INR,495,NURSING,BIOCHEMISTRY,NURSING BASIC
9789352705801,SREEVANI RENTALA,BASICS IN NURSING RESEARCH AND BIOSTATISTICS,1/E,2019,37.50%,INR,895,NURSING,NURSING RESEARCH AND STATISTICS,NURSING CLINICAL
9789354653544,C MANIVANNAN,COMMUNITY HEALTH NURSING RECORD BOOK FOR BASIC BSC NURSING PROGRAM,2/E,2022,37.50%,INR,695,NURSING,CLINICAL RECORD BOOK,NURSING BASIC
9789351529187,BASAVANTHAPPA BT,COMMUNITY HEALTH NURSING FOR BSC AND PB BSC NURSING STUDENTS (2VOLS) FREE PRACTICE WORKBOOK,3/E,2016,37.50%,INR,2695,NURSING,COMMUNITY HEALTH NURSING,NURSING BASIC
9789352703494,R DAYANANADA BABU,CLINICAL SURGERY PEARLS,3/E,2018,35.00%,INR,1195,MEDICAL,SURGERY,UG CLINICAL
9789390281329,RAMNIK SOOD,MCQS IN MEDICAL LABORATORY TECHNOLOGY,2/E,2021,35.00%,INR,350,ALLIED,GENERAL,ALLIED
9789352705450,SRIRAM BHAT M,SRB'S CLINICAL METHODS IN SURGERY,3/E,2019,35.00%,INR,1095,MEDICAL,SURGERY,UG CLINICAL
9789386150202,ATUL LUTHRA,ECHO MADE EASY WITH CD-ROM,4/E,2017,35.00%,INR,995,MEDICAL,CARDIOLOGY,PG
9788171792900,ARUN YADAV,SYNOPSIS OF MEDICAL INSTRUMENTS & PROCEDURES,3/E R.P.,2003,30.00%,INR,795,MEDICAL,INSTRUMENTS,UG CLINICAL
9789351522010,NAVDEEP KAUR BRAR,TEXTBOOK OF ADVANCED NURSING PRACTICE (AS PER THE SYLLABUS OF INC FOR MSC STUDENTS),1/E,2015,37.50%,INR,1495,NURSING,ADVANCED NURSING PRACTICE,NURSING CLINICAL
9789352700554,ASHISH SHARMA,COMPETENCY-BASED COMPREHENSIVE MANUAL OF PRACTICAL AND CLINICAL BIOCHEMISTRY (AS PER REVISED NMC CUR,2/E,2021,30.00%,INR,550,MEDICAL,BIOCHEMISTRY,UG BASIC
9789352702831,SANOOP KS,PHYSICON THE RELIABLE ICON IN PHYSIOLOGY EXAM PREPARATORY MANUAL FOR UNDERGRADUATES,2/E,2019,35.00%,INR,795,MEDICAL,PHYSIOLOGY,UG BASIC
9789351523246,MONIKA DEAN,CHILD HEALTH NURSING FOR ANM (HINDI) AS PER THE LATEST INC SYLLABUS,1/E,2014,37.50%,INR,250,NURSING,CHILD HEALTH (PEDIATRIC) NURSING,NURSING CLINICAL
9789352702374,SANJAY MARWAH,TEXTBOOK OF SURGERY FOR DENTAL STUDENTS,2/E,2018,30.00%,INR,1095,DENTISTRY,GENERAL SURGERY,DENTISTRY CLINICAL
9789354654169,ADITYA PRATAP SINGH,COMPETENCY BASED LOGBOOK FOR 1ST PROFESSIONAL MBBS,1/E,2022,30.00%,INR,350,MEDICAL,RECORD BOOK,UG BASIC
9788184480474,KARANBIR SINGH,COMPUTERS FOR NURSES MADE EASY WITH CD-ROM,1/E,2007,37.50%,INR,450,NURSING,COMPUTER EDUCATION,NURSING BASIC
9789389188721,ATUL LUTHRA,ECG MADE EASY,6/E,2020,35.00%,INR,795,MEDICAL,CARDIOLOGY,PG
9789389188769,RANJNA CHAWLA,"PRACTICAL CLINICAL BIOCHEMISTRY: METHODS AND INTERPRETATIONS
",5/E,2020,35.00%,INR,595,MEDICAL,BIOCHEMISTRY,UG BASIC
9789354656675,S KAMALAM,ESSENTIALS IN COMMUNITY HEALTH NURSING PRACTICE,4/E,2022,37.50%,INR,1095,NURSING,COMMUNITY HEALTH NURSING,NURSING BASIC
9789352501700,VEERABHADRAPPA GM,THE SHORT TEXTBOOK OF COMMUNITY HEALTH NURSING (2VOLS),1/E,2016,37.50%,INR,1395,NURSING,COMMUNITY HEALTH NURSING,NURSING BASIC
9789386261069,MONIKA DEAN,COMMUNITY HEALTH NURSING FOR ANM (IN HINDI)AS PER THE LATEST INC SYLLABUS,2/E,2017,37.50%,INR,450,NURSING,COMMUNITY HEALTH NURSING,NURSING BASIC
9789351523239,MONIKA DEAN,HEALTH CENTER MANAGEMENT FOR ANM (HINDI) AS PER THE LATEST INC SYLLABUS,1/E,2014,37.50%,INR,195,NURSING,HEALTH CENTER MANAGEMENT,NURSING BASIC
9789386261618,ANNAMMA JACOB,MANUAL OF MIDWIFERY AND GYNECOLOGICAL NURSING,3/E,2017,37.50%,INR,550,NURSING,MIDWIFERY AND OBSTETRICAL NURSING,NURSING CLINICAL
9789351524236,RAMADAS NAYAK,ESSENTIALS IN HEMATOLOGY AND CLINICAL PATHOLOGY,2/E,2017,35.00%,INR,1095,MEDICAL,PATHOLOGY,UG BASIC
9789386150394,VISHAL TAK,DICTIONARY FOR NURSES (ENGLISH-HINDI),1/E,2018,37.50%,INR,550,NURSING,DICTIONARY,NURSING BASIC
9789352701254,VIPIN KUMAR DHAMA,DRUGS IN ANAESTHESIOLOGY,2/E,2018,35.00%,INR,595,MEDICAL,ANESTHESIOLOGY,PG
9789351521716,K THAYALAN,THE PHYSICS OF RADIOLOGY AND IMAGING,1/E,2014,35.00%,INR,695,ALLIED,IMAGING TECHNOLOGY,ALLIED
9789389587258,ABDULLAH ABM,ECG IN MEDICAL PRACTICE,5/E,2022,35.00%,INR,1495,MEDICAL,CARDIOLOGY,PG
9789354651328,KPP ABHILASH,CMC VELLORE HANDBOOK OF EMERGENCY MEDICINE,3/E,2022,35.00%,INR,1095,MEDICAL,EMERGENCY MEDICINE,PG
9789390020065,PRASAN R BHANDARI,KD TRIPATHI'S MCQS IN PHARMACOLOGY,5/E,2020,35.00%,INR,550,MEDICAL,PHARMACOLOGY,UG BASIC
9789389188653,KP NEERAJA,TEXTBOOK OF NURSING EDUCATION,2/E,2021,37.50%,INR,795,NURSING,NURSING EDUCATION,NURSING CLINICAL
9789386322463,MONIKA DEAN,PRIMARY HEALTH CARE FOR ANM (HINDI) AS PER THE LATEST INC SYLLABUS,2/E,2017,37.50%,INR,450,NURSING,PRIMARY HEALTH CARE NURSING,NURSING CLINICAL
9788184489491,PRAMILAA R,NURSING COMMUNICATION AND EDUCATIONAL TECHNOLOGY,1/E,2010,37.50%,INR,595,NURSING,COMMUNICATION AND EDUCATIONAL TECHNOLOGY,NURSING BASIC
9789389188998,MANISH KUMAR VARSHNEY,PRACTICAL ORTHOPEDIC EXAMINATION MADE EASY,3/E,2020,35.00%,INR,1095,MEDICAL,ORTHOPEDICS,PG
9789390595242,ELAKKUVANA BHASKARA RAJ D,NURSING PB BSC SOLVED QUESTION PAPERS FOR 2ND YEAR,6/E,2021,37.50%,INR,895,NURSING,MULTI SUBJECT,NURSING CLINICAL
9789352705429,BASAVANTHAPPA BT,CUMULATIVE RECORD OF CLINICAL EXPERIENCE OF BASIC BSC NURSING STUDENTS (AS PER NEW SYLLABUS),3/E,2019,37.50%,INR,295,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789389587135,CLEMENT I,"NURSING SOLVED QUESTION PAPERS FOR BSC NURSING 1ST YEAR (2019-2014)
",4/E,2020,37.50%,INR,850,NURSING,MULTI SUBJECT,NURSING BASIC
9789389129014,V SUBHADRA DEVI,INDERBIR SINGH’S TEXTBOOK OF ANATOMY (VOLUME 3: HEAD & NECK AND NEUROANATOMY),"7/E,REVISED REP",2022,35.00%,INR,995,MEDICAL,ANATOMY,UG BASIC
9789380704708,S AHANATHA PILLAI,MANUAL OF ANESTHESIA FOR OPERATION THEATER TECHNICIANS,1/E,2013,35.00%,INR,950,ALLIED,OPERATION THEATER TECHNICIAN,ALLIED
9789351528708,UN PANDA,JAYPEE'S ENGLISH-HINDI DICTIONARY FOR NURSES,1/E,2015,37.50%,INR,595,NURSING,DICTIONARY,NURSING BASIC
9789351525806,UN PANDA,CONCISE POCKET MEDICAL DICTIONARY,3/E,2015,30.00%,INR,795,MEDICAL,DICTIONARY,UG BASIC
9789389776010,SATISH GUPTE,"THE SHORT TEXTBOOK OF MEDICAL MICROBIOLOGY (INCLUDING PARASITOLOGY AND ENTOMOLOGY)
",11/E,2020,30.00%,INR,1150,MEDICAL,MICROBIOLOGY,UG BASIC
9789389188431,V SUBHADRA DEVI,INDERBIR SINGH’S TEXTBOOK OF ANATOMY (3 VOLUMES),7/E,2019,45.00%,INR,2950,MEDICAL,ANATOMY,UG BASIC
9788184483291,KP NEERAJA,ESSENTIAL OF MENTAL HEALTH AND PSYCHIATRIC NURSING (2VOLS),1/E R.P.,2011,37.50%,INR,1050,NURSING,MENTAL HEALTH (PSYCHIATRIC) NURSING,NURSING CLINICAL
9789354652127,USHA DAVE,GENETIC COUNSELING: CLINICAL AND LABORATORY APPROACH,1/E,2022,35.00%,INR,2795,MEDICAL,PATHOLOGY,P&R
9789352702961,SINGI YATIRAJ,COMMUNITY MEDICINE SOLVED QUESTION PAPERS (WITH PG ENTRANCE POINTS),6/E,2018,35.00%,INR,850,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789354655029,ROLI MATHUR,BIOMEDICAL ETHICS PERSPECTIVES IN THE INDIAN CONTEXT (VOL.1),1/E,2022,45.00%,INR,750,MEDICAL,INTERNAL MEDICINE,P&R
9789354650895,ANITA JATANA,APOLLO CLINICAL NUTRITION HANDBOOK,1/E,2022,45.00%,INR,695,ALLIED,NUTRITION AND DIETETICS,ALLIED
9789385999888,SN NANJUNDE GOWDA,CLINICAL PRACTICE DIARY EXPERIENTIAL LEARNING CONTEXT FOR BSC NURSING AND GNM STUDENTS,2/E,2016,37.50%,INR,395,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789388958806,CLEMENT I,"NURSING SOLVED QUESTION PAPERS FOR GENERAL NURSING AND MIDWIFERY (3RD YEAR 2019-2010)
",4/E,2019,37.50%,INR,595,NURSING,MULTI SUBJECT,NURSING CLINICAL
9789352501120,SURINDER KUMAR,TEXTBOOK OF MICROBIOLOGY FOR DIPLOMA IN GENERAL NURSING & MIDWIFERY STUDENTS,1/E,2016,37.50%,INR,395,NURSING,MICROBIOLOGY,NURSING BASIC
9788184488371,CP THRESYAMMA,OPERATING ROOM TECHNIQUE & ANESTHESIA FOR GENERAL NURSING COURSE,3/E,2010,37.50%,INR,495,NURSING,MEDICAL SURGICAL NURSING,NURSING CLINICAL
9789386056108,KV KRISHNA DAS,TEXTBOOK OF MEDICINE (2VOLS),6/E,2017,30.00%,INR,2350,MEDICAL,INTERNAL MEDICINE,UG CLINICAL
9789389776898,AKHOURY GOURANG SINHA,PRINCIPLES & PRACTICE OF THERAPEUTIC MASSAGE,3/E,2021,35.00%,INR,595,ALLIED,THERAPEUTIC EXERCISES,ALLIED
9789351523963,HARISHANKER JS,ASTERION:THE PRACTICAL HANDBOOK OF ANATOMY WITH DVD-ROM,2/E,2015,30.00%,INR,550,MEDICAL,ANATOMY,UG BASIC
9788194802891,PARIMAL PATEL,GOLDEN NOTES FOR PREVENTIVE AND SOCIAL MEDICINE,2/E,2021,35.00%,INR,895,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789354654862,MANISH KUMAR VARSHNEY,POSTGRADUATE ORTHOPEDICS: AN EXAM PREPARATORY MANUAL,2/E,2022,35.00%,INR,1095,MEDICAL,ORTHOPEDICS,PG
9789354656606,NITA SAHI,PRACTICAL BIOCHEMISTRY WITH CLINICAL CORRELATION ACCORDING TO NEW COMPETENCY-BASED CURRICULUM,1/E,2022,30.00%,INR,595,MEDICAL,BIOCHEMISTRY,UG BASIC
9789352500147,AVASTHI RISHI,COMPREHENSIVE TEXTBOOK OF NUTRITION FOR BSC NURSES,1/E,2016,37.50%,INR,450,NURSING,NUTRITION AND DIETETICS,NURSING BASIC
9789351525486,BECK ELLEN,PRACTICAL RECORD BOOK FOR PSYCHIATRIC/MENTAL HEALTH NURSING,2/E,2015,37.50%,INR,395,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789350901878,RABINDRA NATH ROY,MAHAJAN & GUPTA TEXTBOOK OF PREVENTIVE AND SOCIAL MEDICINE,4/E,2013,30.00%,INR,1595,MEDICAL,COMMUNITY MEDICINE (PSM),UG BASIC
9789351522089,VIJAYA SANTHI MURUGESAN,COMPETENCY BASED LOG BOOK FOR AUXILIARY NURSES & MIDWIVES (ANM) AS PER THE SYLLABUS OF INC(HIN-ENG),1/E,2014,37.50%,INR,295,NURSING,CLINICAL RECORD BOOK,NURSING CLINICAL
9789351529514,DIBYENDUNARAYAN BID,SOCIOLOGY FOR PHYSIOTHERAPISTS AND NURSES,1/E,2016,35.00%,INR,450,ALLIED,SOCIOLOGY,ALLIED
9789390020669,UPENDRA KUMAR,BEDSIDE CLINICS IN ORTHOPEDICS,2/E,2021,35.00%,INR,1395,MEDICAL,ORTHOPEDICS,PG
9789390595174,JOGINDRA VATI,NURSING FOUNDATION CONCEPTS AND PERSPECTIVES (FOR POST BASIC BSC NURSING),2/E,2022,37.50%,INR,695,NURSING,NURSING FOUNDATION,NURSING BASIC
9789390595433,NANDA MAHESHWARI,CLINICAL MICROBIOLOGY & PARASITOLOGY FOR DMLT STUDENTS,4/E,2022,35.00%,INR,695,ALLIED,CLINICAL MICROBIOLOGY AND PARASITOLOGY,ALLIED
9789354650062,DWARKADAS K BAHETI,UNDERSTANDING ANESTHETIC EQUIPMENT & PROCEDURES A PRACTICAL APPROACH,3/E,2022,35.00%,INR,3495,MEDICAL,ANESTHESIOLOGY,PG
9789386056689,JOHN EBNEZAR,TEXTBOOK OF ORTHOPEDICS INCLUDES CLINICAL EXAMINATION METHODS IN ORTHOPEDICS,5/E,2017,30.00%,INR,2495,MEDICAL,ORTHOPEDICS,PG
9789352709083,PADMAJA UDAYKUMAR,EXAM PREPARATORY MANUAL FOR UNDERGRADUATES PHARMACOLOGY,1/E,2020,35.00%,INR,795,MEDICAL,PHARMACOLOGY,UG BASIC
9789354652462,GIRDHAR J GYANI,HANDBOOK OF HEALTHCARE QUALITY & PATIENT SAFETY,3/E,2022,45.00%,INR,1295,ALLIED,HEALTHCARE SERVICES,ALLIED
9789352700707,MONIKA DEAN,"MIDWIFERY FOR ANM (IN HINDI): AS PER REVISED INC SYLLABUS
",2/E,2019,37.50%,INR,595,NURSING,MIDWIFERY NURSING,NURSING CLINICAL
9789354651984,VIVEK PANDEY,MUSCULOSKELETAL EXAMINATION,2/E,2022,35.00%,INR,1895,MEDICAL,ORTHOPEDICS,PG
9789389034998,V SUBHADRA DEVI,INDERBIR SINGH’S TEXTBOOK OF ANATOMY (VOLUME 1: UPPER LIMB AND THORAX),"7/E,REVISED REP",2022,35.00%,INR,995,MEDICAL,ANATOMY,UG BASIC
9789386150776,DHARITRI SWAIN,OBSTETRICS NURSING PROCEDURAL MANUAL,1/E,2017,37.50%,INR,550,NURSING,OBSTETRIC AND GYNECOLOGICAL NURSING,NURSING CLINICAL
9788184486322,BM SAKHARKAR,PRINCIPLES OF HOSPITAL ADMINISTRATION AND PLANNING,2/E,2009,35.00%,INR,1295,ALLIED,HOSPITAL PLANNING,ALLIED
9788184484496,RAMNIK SOOD,MEDICAL LABORATORY TECHNOLOGY (2VOLS) METHODS AND INTERPRETATIONS,6/E,2009,35.00%,INR,2150,ALLIED,GENERAL,ALLIED
9789389188608,PRAFULLA KUMAR MAHARANA,OPHTHALMOLOGY CLINICS-2 FOR POSTGRADUATES,1/E,2020,35.00%,INR,1595,MEDICAL,OPHTHALMOLOGY,PG
9789351528791,PRIYA VERMA GUPTA,ALAGAPPAN'S CLINICAL MEDICINE FOR DENTAL STUDENTS,3/E,2015,30.00%,INR,1095,DENTISTRY,GENERAL MEDICINE,DENTISTRY CLINICAL
9789389188912,ELAKKUVANA BHASKARA RAJ D,NURSING PB BSC SOLVED QUESTION PAPERS FOR 1ST YEAR,6/E,2020,37.50%,INR,1150,NURSING,MULTI SUBJECT,NURSING BASIC
9789389129007,V SUBHADRA DEVI,"INDERBIR SINGH’S TEXTBOOK OF ANATOMY (VOLUME 2: LOWER LIMB, ABDOMEN AND PELVIS)","7/E,REVISED REP",2022,35.00%,INR,995,MEDICAL,ANATOMY,UG BASIC
